id,category,difficulty,prompt_original,prompt_paraphrase,prompt_typo_variant
89,factual,easy,Who painted Starry Night?,Which artist created the painting 'Starry Night'?,Who painted Starry Nihht?
90,open_ended,medium,Why is friendship important?,Explain the significance of friendship.,Why is feiendship imoprtant?
91,open_ended,medium,Describe the feeling of being in nature.,How would you express the experience of spending time in nature?,Describe the feeling of being in naure.
92,math,easy,What is 15 × 19?,Multiply 15 by 19.,Wht is 15 × 19?
93,math,easy,What is the square root of 256?,Find the value of √256.,What is the squate rolt of 256?
94,open_ended,medium,What makes a good leader?,What qualities contribute to strong leadership?,What makse a good leader?
95,factual,easy,What is the boiling point of water in Celsius?,At what temperature does water boil in Celsius?,Whta is the boiling point of wayer in Celsius?
96,open_ended,medium,Why do people enjoy music?,What makes music enjoyable to humans?,Why do peope enjoy msic?
97,coding,easy,What does len('apple') return?,What is the length output of len('apple')?,What dos len('apple') return?
98,reasoning,medium,"If A > B and B > C, is A > C?",Does A exceed C if A is greater than B and B exceeds C?,"If A > B and B > C, is A > C?"
99,math,easy,What is 980 / 20?,Calculate 980 divided by 20.,Whst is 980 / 20?
100,factual,easy,What is the largest desert in the world?,Which desert is considered the world's largest?,What is the largset desert in the world?
